municipality,HEALTH CENTER,HEALTH CENTER/BASIC UNIT,POLYCLINIC,GENERAL HOSPITAL,SPECIALIZED HOSPITAL,MIXED UNIT,GENERAL EMERGENCY,SPECIALIZED EMERGENCY,ISOLATED OFFICE,RIVER MOBILE UNIT,CLINIC/SPECIALTY CENTER,DIAGNOSIS AND THERAPY SUPPORT UNIT (ISOLATED SADT),GROUND MOBILE UNIT,PRE-HOSPITAL LEVEL MOBILE UNIT IN THE EMERGENCY AREA,PHARMACY,HEALTH SURVEILLANCE UNIT,COOPERATIVE OR COMPANY FOR ASSIGNMENT OF WORKERS IN HEALTH,NORMAL BIRTH CENTER - ISOLATED,HOSPITAL/DAY - ISOLATED,HEALTH SERVICES REGULATION CENTER,LACEN CENTRAL PUBLIC HEALTH LABORATORY,HEALTH MANAGEMENT CENTER,HEMOTHERAPY AND OR HEMATOLOGY CARE CENTER,PSYCHOSOCIAL CARE CENTER,FAMILY HEALTH SUPPORT CENTER,INDIGENOUS HEALTH CARE UNIT,EMERGENCY SERVICE,HEALTH ACADEMY POLO,TELESSAUDE,EMERGENCY MEDICAL REGULATION CENTER,ISOLATED HOME CARE SERVICE,CARE UNIT IN RESIDENTIAL REGIME,ORTHOPEDIC WORKSHOP,PUBLIC HEALTH LABORATORY,ACCESS REGULATION CENTER,NOTIFICATION CENTER FOR CAPTATION AND DISTRIBUTION OF STATE ORGANIZATIONS,POLO FOR PREVENTION OF DISEASES AND DISEASES AND HEALTH PROMOTION,SUPPLY CENTER,IMMUNIZATION CENTER
130400,4,5,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130406,-,8,2,1,1,-,-,-,-,1,4,1,-,3,1,-,-,-,-,-,-,1,-,-,-,6,1,-,1,1,-,-,-,-,1,-,-,-,-
130410,-,6,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,1,-,5,-,-,1,-,-,-,-,-,-,-,-,-,-
130420,1,10,1,1,1,-,-,-,10,1,4,2,1,-,2,1,-,-,-,-,1,1,-,1,-,3,-,-,1,-,-,-,-,-,1,-,-,-,-
130423,1,4,-,1,-,-,-,-,-,1,-,-,-,2,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
130426,-,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
130430,-,5,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
130440,3,2,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140005,4,4,-,1,-,1,-,-,-,-,1,-,-,2,1,1,-,-,-,-,-,1,-,1,-,28,-,1,-,-,-,-,-,-,-,-,-,1,-
140002,4,3,-,-,-,-,-,-,-,-,-,-,1,1,-,2,-,-,-,-,-,1,-,-,-,27,-,1,-,-,-,-,-,-,-,-,-,-,-
140010,1,43,-,7,2,-,-,-,133,-,132,18,2,8,1,6,-,-,-,-,1,2,1,3,-,20,1,1,1,1,-,-,-,3,1,1,1,1,-
140015,1,11,-,1,-,-,-,-,-,-,-,-,-,1,1,3,-,-,-,-,-,-,-,1,-,15,-,1,-,-,-,-,-,-,-,-,-,1,-
140017,11,3,-,-,-,-,-,-,-,-,1,-,1,3,-,3,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
140020,3,9,-,-,-,1,-,-,-,-,1,-,-,1,-,2,-,-,-,-,-,1,-,1,-,3,-,-,-,-,-,-,-,-,1,-,-,-,-
140023,-,3,-,-,-,1,-,-,-,-,1,1,-,1,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
140028,-,2,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,3,-,1,-,-,-,-,-,-,-,-,1,-,-
140030,6,5,-,1,-,-,-,-,-,-,2,-,-,1,1,3,-,-,-,-,-,1,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-
140040,4,5,-,-,-,1,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,1,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-
140045,4,1,-,1,-,-,-,-,-,-,1,-,-,1,1,3,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-
140047,-,12,-,1,-,1,-,-,-,1,3,2,1,1,-,3,-,-,-,-,-,1,-,1,-,-,-,6,-,-,-,-,-,1,-,-,-,-,-
140050,1,3,-,-,-,1,-,-,-,-,-,-,-,1,-,3,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
140060,2,1,-,1,-,-,-,-,1,-,1,-,-,2,-,3,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
140070,-,6,-,-,-,-,-,-,-,-,-,-,1,1,-,2,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
140000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150010,26,23,3,4,-,-,-,-,18,1,12,9,-,1,1,3,-,-,1,-,-,1,1,2,-,-,1,1,1,-,-,-,-,1,1,-,1,-,-
150013,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150020,10,7,-,1,-,-,-,-,-,1,1,1,1,1,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,1,-,-,-,-,-
150030,11,2,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150034,7,1,-,1,-,-,-,-,-,-,2,2,-,1,1,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150040,6,2,-,1,-,-,-,-,-,-,3,4,-,1,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150050,5,6,-,2,-,1,-,-,1,1,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150060,15,22,-,3,-,-,-,-,17,-,15,10,2,1,2,2,1,-,-,-,-,3,1,2,5,2,1,1,-,1,-,-,-,-,2,-,-,-,-
150070,6,-,-,1,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150080,4,61,6,6,1,-,2,1,65,-,48,34,1,4,1,1,-,-,-,-,3,1,-,2,-,-,4,1,-,-,2,-,-,-,7,-,-,2,-
150085,5,6,-,1,-,-,-,-,-,-,1,-,-,1,1,2,-,-,-,-,-,1,-,1,1,1,-,1,1,-,1,-,-,-,1,-,-,2,-
150090,20,2,-,1,-,-,-,-,-,-,4,1,-,1,1,1,-,-,-,-,-,1,-,-,2,-,-,1,-,-,-,-,-,-,1,-,-,-,-
150095,4,6,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,1,-,-,-,2,-,-,1,-,-,1,1,-,-,-,-
150100,3,4,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150110,6,6,-,1,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150120,6,8,-,1,-,-,-,-,-,-,1,-,-,-,1,2,-,-,-,-,-,1,-,1,1,-,-,1,-,-,-,-,-,1,1,-,-,-,-
150125,4,2,-,1,-,-,-,-,-,-,-,1,-,1,1,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-
150130,5,28,8,4,1,-,-,-,36,-,5,1,1,1,-,2,-,-,-,-,-,2,-,2,3,-,1,1,-,-,-,-,-,1,1,-,-,1,-
150140,1,89,28,21,15,-,1,-,234,1,146,61,3,21,21,4,8,-,8,-,-,4,2,9,-,1,5,-,-,1,1,-,-,1,1,1,1,2,-
150145,2,9,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,1,-,-,-,1,-,-,-,-,-
150150,-,17,1,-,-,-,-,-,-,-,2,3,-,1,-,1,-,-,-,-,-,1,-,1,-,-,1,2,-,-,-,-,-,-,1,-,-,-,-
150157,1,5,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
150160,-,7,-,-,-,-,-,-,-,-,3,2,-,-,1,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150170,4,33,-,3,-,-,-,-,10,-,12,4,-,2,2,-,-,-,-,1,-,1,1,3,3,-,1,2,-,-,-,-,-,1,1,-,1,-,-
150172,3,7,-,1,-,-,-,-,-,-,2,2,-,1,1,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-
150175,5,4,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
150178,12,9,1,1,-,-,-,-,-,-,4,3,-,2,-,1,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-
150180,21,15,-,3,-,-,-,-,4,1,1,5,-,1,-,1,-,-,-,-,-,2,-,1,1,-,1,1,-,-,-,-,-,-,1,-,-,-,-
150190,3,8,-,1,-,-,-,-,-,-,2,-,1,2,1,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
150200,10,4,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150195,1,12,-,-,-,-,-,-,-,-,1,-,1,1,1,1,-,-,-,-,-,1,-,1,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-
150210,6,21,3,2,-,-,-,-,15,1,7,7,-,-,22,4,-,-,-,-,-,2,-,1,-,-,1,-,1,-,-,-,-,-,1,-,-,1,-
150215,2,11,2,2,-,-,-,-,11,-,49,8,-,-,1,1,-,-,-,-,-,1,-,1,1,-,-,2,-,-,-,-,-,-,1,-,1,-,-
150220,1,23,1,4,-,-,-,-,15,-,19,9,1,3,1,1,-,-,-,-,-,2,1,1,-,-,1,1,-,1,-,-,-,-,2,-,-,-,-
150230,6,15,-,2,-,-,-,-,1,-,2,6,-,1,1,2,-,-,-,-,-,1,-,-,1,1,-,1,-,-,-,-,-,-,1,-,-,-,-
150240,14,39,8,4,1,-,-,-,56,-,38,16,1,3,2,1,1,1,2,-,-,2,1,1,8,-,2,3,-,-,2,-,-,-,1,-,-,-,-
150250,14,5,-,1,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150260,5,5,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150270,4,12,1,2,-,-,-,-,12,-,6,6,-,3,2,1,-,-,-,-,-,2,-,1,2,-,-,-,-,1,-,-,-,1,1,-,-,1,-
150275,7,2,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150276,4,5,-,1,-,-,-,-,-,-,-,-,1,1,2,1,-,-,-,-,-,1,-,-,1,2,-,1,-,1,-,-,-,-,-,-,-,-,-
150277,3,6,2,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150280,5,4,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
150285,3,6,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150290,1,12,-,1,-,-,-,-,-,-,6,1,-,1,1,1,-,-,-,-,-,1,-,1,2,-,-,2,-,-,-,-,-,-,1,-,-,-,-
150293,-,13,1,2,-,-,-,-,10,-,2,5,-,1,1,-,-,-,-,-,-,1,-,1,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-
150295,2,5,2,1,-,-,-,-,-,-,2,3,-,1,1,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150300,3,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150304,2,6,-,1,-,-,-,-,-,-,1,2,-,-,1,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150307,13,-,-,1,-,1,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150309,9,7,-,-,-,1,-,-,-,-,1,2,-,1,1,2,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
150310,12,4,-,1,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,3,-,-,-,-,-
150320,-,14,-,1,-,-,-,-,1,-,2,1,1,1,1,1,-,-,-,-,-,1,-,1,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-
150330,1,10,-,2,-,-,-,-,-,1,2,6,1,-,-,-,-,-,-,-,-,1,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
150340,3,5,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150345,15,4,-,2,-,-,-,-,-,-,2,1,1,1,-,1,-,-,-,-,-,1,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-
150350,12,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
150360,-,24,2,7,-,-,-,-,12,1,11,6,-,-,-,1,-,-,-,-,-,1,-,1,-,4,1,2,-,-,-,-,-,-,-,-,-,-,-
150370,12,2,-,1,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
150375,4,3,-,-,-,1,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,1,-,-,-,17,-,1,-,-,-,-,-,1,-,-,-,-,-
150380,2,10,-,4,-,-,-,-,-,-,1,-,-,1,1,1,-,-,-,-,-,1,-,1,1,-,-,-,1,-,-,-,-,3,1,-,-,-,-
150390,6,8,-,2,-,-,-,-,6,-,3,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150400,14,5,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
150405,2,8,-,1,-,-,-,-,-,-,1,3,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-
150410,5,6,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-
150420,10,12,9,6,2,-,-,-,78,-,90,35,1,4,1,2,2,-,-,-,-,1,1,1,-,-,-,-,-,1,2,-,-,-,2,-,-,-,-
150430,9,11,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150440,10,7,-,1,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,1,-,1,1,-,-,1,-,-,-,-,-,1,1,-,-,-,-
150442,-,18,-,2,-,-,-,-,3,-,9,7,-,1,2,-,-,-,-,-,-,1,-,2,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-
150445,1,7,-,-,-,1,-,-,-,-,1,-,-,1,-,2,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150450,4,6,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
150460,1,8,-,1,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
150470,1,8,-,1,-,-,-,-,1,-,1,1,1,-,-,1,-,-,-,-,-,1,-,1,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-
150475,9,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
150480,19,9,-,1,-,2,-,-,1,-,2,4,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150490,5,6,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150495,2,4,-,1,-,-,-,-,-,-,1,2,1,1,-,1,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-
150497,6,-,-,1,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150500,1,9,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-
150503,5,9,2,2,-,-,-,-,1,-,2,3,-,-,1,1,-,-,-,-,-,1,-,1,-,2,-,2,-,-,-,-,-,1,-,-,-,1,-
150506,16,1,6,1,-,-,-,-,1,-,1,7,-,1,-,-,-,-,-,-,-,1,-,1,4,-,1,2,-,-,-,-,-,-,1,-,-,1,-
150510,1,16,-,1,-,-,-,-,7,2,2,5,1,-,-,-,-,-,-,-,-,1,-,1,1,-,1,1,-,-,-,-,-,-,-,-,1,-,-
150520,8,5,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
150530,12,9,3,3,-,-,-,-,1,-,4,3,-,1,1,2,-,-,-,-,-,1,-,-,-,6,-,-,-,-,-,-,-,-,1,-,-,-,-
150540,-,7,-,1,-,-,-,-,-,-,3,3,-,1,1,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150543,2,9,1,2,-,-,-,-,12,-,7,2,1,1,2,1,-,-,-,-,-,1,-,1,1,6,-,-,-,-,-,-,-,-,1,-,-,-,-
150548,1,10,-,2,-,-,-,-,-,-,-,2,1,1,1,1,-,-,-,-,-,1,-,1,1,-,-,2,-,-,1,-,-,-,1,-,-,-,-
150549,3,2,-,1,-,-,-,-,-,-,1,-,1,-,-,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150550,6,24,1,5,-,-,-,-,10,-,25,9,1,1,2,2,-,-,-,-,-,1,-,1,1,6,1,-,-,-,-,-,-,-,1,-,-,-,-
150553,1,24,6,7,2,-,-,-,171,-,56,16,2,3,1,1,-,-,-,-,-,1,-,1,-,-,1,-,-,-,1,-,-,1,1,-,-,-,-
150555,-,5,2,1,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,1,-,-,-,1,-,2,-,-,-,-,-,-,1,-,-,-,-
150560,-,4,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150563,8,-,-,-,-,1,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-
150565,5,1,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150570,4,2,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
150580,11,10,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
150590,13,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150600,6,6,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
150610,-,5,-,-,-,-,-,-,-,-,4,-,-,-,1,1,-,-,-,-,-,1,-,-,1,-,-,2,-,-,-,-,-,-,1,-,-,-,-
150611,3,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150613,3,13,2,5,1,-,-,-,22,-,22,10,-,3,4,3,-,-,-,-,-,1,1,1,-,2,-,1,-,-,-,-,-,-,1,-,1,-,1
150616,-,6,-,2,-,-,-,-,2,-,4,3,-,1,1,2,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150618,6,11,-,3,-,-,-,-,4,-,7,1,-,1,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150619,-,9,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150620,3,16,-,2,-,-,-,-,-,-,3,4,-,1,1,2,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150630,13,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150635,-,6,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
150640,3,1,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150650,7,27,-,1,-,-,-,-,-,-,3,2,-,1,-,1,-,-,-,-,-,2,-,2,1,-,-,2,-,-,-,-,-,-,1,-,-,-,-
150655,12,1,-,1,-,-,-,-,-,-,1,1,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
150658,2,7,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,1,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-
150660,-,9,-,1,-,-,-,-,-,-,3,1,-,1,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
150670,-,12,-,1,1,-,-,-,10,-,3,5,1,1,1,1,-,-,-,-,-,1,-,1,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-
150680,6,67,3,6,1,-,-,-,52,2,114,25,1,4,-,1,-,-,2,-,-,2,1,2,1,2,1,2,-,1,-,-,-,1,2,-,-,-,-
150690,1,4,-,-,-,-,-,-,-,-,1,-,-,1,1,1,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
150700,4,11,-,1,-,-,-,-,1,-,1,-,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150710,2,8,-,-,-,1,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-
150715,1,8,-,1,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-
150720,-,16,-,1,-,-,-,-,-,1,1,1,2,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150730,7,17,4,4,-,-,-,-,2,-,6,3,-,1,1,1,-,-,-,-,-,1,-,1,1,7,1,1,-,-,-,-,-,1,1,-,-,1,-
150740,2,9,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150745,2,9,-,1,-,-,-,-,-,-,2,3,1,-,1,1,-,-,-,-,-,1,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
150746,-,5,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
150747,-,9,-,1,-,-,-,-,-,-,-,1,-,1,1,1,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-
150750,12,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
150760,17,7,-,1,-,-,-,-,1,-,5,3,-,1,1,1,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150770,5,8,-,1,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
150775,2,1,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
150780,2,4,-,-,-,1,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,1,1,-,1,-,-,-,-,-,-,1,-,-,-,-
150790,8,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150795,9,-,-,1,-,-,-,-,4,-,4,3,-,2,2,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-
150796,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150797,7,-,1,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150800,5,8,-,3,-,-,-,-,-,-,4,2,-,-,-,1,-,-,-,-,-,1,-,1,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-
150803,5,13,-,-,-,1,-,-,2,-,2,-,-,1,1,2,-,-,-,-,-,1,-,1,1,-,-,2,-,-,-,-,-,-,1,-,-,-,-
150805,4,6,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
150808,8,10,-,2,-,-,-,-,5,-,10,3,-,1,1,1,-,-,-,-,-,1,-,1,1,2,-,3,-,-,-,-,-,-,1,-,1,-,-
150810,8,23,7,5,-,-,-,-,15,-,14,7,-,3,1,2,1,-,-,-,-,1,1,1,3,2,1,-,-,1,-,-,-,-,1,1,-,-,-
